;Code;Composant;Description;Apparition;;Retour;;Modèle machine;Description;N. de série
;4;"Carte de Telematics
";Niveau d'eau bas;11/07/2024;00:29:46;11/07/2024;01:20:31;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;24, 9, 101;Carte de fonction;Alarme carte traction;11/07/2024;00:45:22;11/07/2024;01:15:37;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;4;"Carte de Telematics
";Niveau d'eau bas;11/07/2024;02:28:48;11/07/2024;02:55:51;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;24, 9, 101;Carte de fonction;Alarme carte traction;11/07/2024;02:46:59;11/07/2024;02:52:05;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;11/07/2024;09:13:03;11/07/2024;09:22:10;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;11/07/2024;09:16:32;11/07/2024;09:22:10;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;11/07/2024;09:33:26;11/07/2024;10:03:34;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;11/07/2024;09:36:57;11/07/2024;10:03:35;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;4;"Carte de Telematics
";Niveau d'eau bas;11/07/2024;10:57:27;11/07/2024;13:43:45;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;51, 9, -40;Carte de fonction;Unité 2 éteinte;11/07/2024;13:07:50;11/07/2024;13:24:02;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;51, 9, -40;Carte de fonction;Unité 2 éteinte;11/07/2024;13:25:25;11/07/2024;13:27:09;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;4;"Carte de Telematics
";Niveau d'eau bas;11/07/2024;23:27:01;11/07/2024;23:40:48;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;4;"Carte de Telematics
";Niveau d'eau bas;12/07/2024;01:02:28;12/07/2024;01:24:58;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;4;"Carte de Telematics
";Niveau d'eau bas;12/07/2024;02:20:53;12/07/2024;03:16:16;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;50, 9, -40;Carte de fonction;Unité 1 éteinte;12/07/2024;02:23:46;12/07/2024;03:12:07;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;4;"Carte de Telematics
";Niveau d'eau bas;13/07/2024;00:07:00;13/07/2024;00:15:17;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;13/07/2024;00:32:48;13/07/2024;03:34:07;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;13/07/2024;00:36:18;13/07/2024;03:33:54;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;13/07/2024;08:14:30;13/07/2024;08:15:30;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;13/07/2024;08:17:31;13/07/2024;08:18:31;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;13/07/2024;08:19:40;13/07/2024;08:23:14;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;13/07/2024;08:24:55;13/07/2024;08:25:35;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;13/07/2024;08:26:53;13/07/2024;08:27:53;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;13/07/2024;08:30:19;13/07/2024;08:33:12;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;13/07/2024;08:34:32;13/07/2024;08:35:28;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;13/07/2024;08:37:38;13/07/2024;08:40:22;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;13/07/2024;08:41:07;13/07/2024;08:44:44;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;13/07/2024;08:46:18;13/07/2024;08:48:19;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;13/07/2024;08:49:19;13/07/2024;08:49:46;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;13/07/2024;09:04:52;13/07/2024;09:15:31;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;13/07/2024;09:08:21;13/07/2024;09:15:31;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;13/07/2024;09:54:11;13/07/2024;10:05:57;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;13/07/2024;09:57:40;13/07/2024;10:05:57;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;4;"Carte de Telematics
";Niveau d'eau bas;16/07/2024;08:39:58;16/07/2024;09:54:45;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;51, 9, -40;Carte de fonction;Unité 2 éteinte;16/07/2024;10:01:36;16/07/2024;10:01:44;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;16/07/2024;10:17:16;16/07/2024;10:19:46;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;79, 1, 91;Carte de fonction;79;16/07/2024;10:22:05;16/07/2024;10:22:08;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;51, 9, -40;Carte de fonction;Unité 2 éteinte;16/07/2024;10:33:54;16/07/2024;10:34:02;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;24, 9, 124;Carte de fonction;Alarme carte traction;16/07/2024;10:34:02;16/07/2024;10:35:43;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;4;"Carte de Telematics
";Niveau d'eau bas;16/07/2024;23:37:42;17/07/2024;00:03:48;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;24, 9, 101;Carte de fonction;Alarme carte traction;16/07/2024;23:54:24;16/07/2024;23:57:17;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;4;"Carte de Telematics
";Niveau d'eau bas;17/07/2024;01:34:48;17/07/2024;01:38:21;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;17/07/2024;01:57:05;17/07/2024;01:57:19;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;8;"Carte de Telematics
";Niveau de batterie faible;17/07/2024;03:15:57;17/07/2024;03:41:51;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;67, 0, -15;Carte de fonction;Attention niveau batterie bas;17/07/2024;03:15:59;17/07/2024;03:41:54;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;4;"Carte de Telematics
";Niveau d'eau bas;17/07/2024;03:17:00;17/07/2024;04:46:13;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;8;"Carte de Telematics
";Niveau de batterie faible;17/07/2024;03:41:54;17/07/2024;04:40:20;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;8;"Carte de Telematics
";Niveau de batterie faible;17/07/2024;04:41:20;17/07/2024;07:30:30;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;17/07/2024;08:37:29;17/07/2024;09:00:48;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;17/07/2024;08:41:00;17/07/2024;08:49:54;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;17/07/2024;08:54:54;17/07/2024;08:59:00;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;51, 9, -40;Carte de fonction;Unité 2 éteinte;17/07/2024;09:02:39;17/07/2024;09:11:40;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;17/07/2024;09:31:07;17/07/2024;09:36:20;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;17/07/2024;09:34:36;17/07/2024;09:36:20;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;17/07/2024;10:25:07;17/07/2024;10:27:27;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;18/07/2024;01:35:52;18/07/2024;01:40:13;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;18/07/2024;01:39:20;18/07/2024;01:40:14;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;18/07/2024;01:44:16;18/07/2024;01:52:38;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;18/07/2024;01:47:46;18/07/2024;01:52:39;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;18/07/2024;01:54:18;18/07/2024;02:19:02;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;18/07/2024;01:57:48;18/07/2024;02:19:04;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;18/07/2024;02:20:35;18/07/2024;02:20:44;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;18/07/2024;02:22:17;18/07/2024;02:26:19;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
