Séquence;Parcours;Début;Fin;"Terminer
à [%]";"Durée
[mn]";"Vitesse moyenne
[km/h]";"Surface
propre [mq]";"Productivité
horaire [mq/h]"
Central Brioche;L novotel;14/08/2024 08:38:35;08:56:21;100;18;1,7;399;1355
Central Brioche;L brioche;14/08/2024 08:56:53;10:03:05;100;66;0,7;619;563
Central Brioche;T F brioche;14/08/2024 10:03:43;10:04:20;20;1;1;8;788
Central Brioche;T D centre;14/08/2024 10:16:24;10:17:52;100;1;1,5;29;1207
Central Brioche;L centre;14/08/2024 10:17:55;10:29:16;14;11;1,3;195;1038
Central Brioche;L centre;14/08/2024 10:31:03;11:14:46;70;44;1,2;698;963
Central Brioche;L centre;14/08/2024 11:22:01;11:29:57;80;8;1,1;122;929
Central Brioche;L centre;14/08/2024 11:31:19;11:38:31;87;7;1;96;807
grouper air fra;Parcours 5;14/08/2024 11:45:22;12:27:15;100;42;1,4;809;1165
grouper air fra;T F af;14/08/2024 12:27:55;12:29:18;100;1;2,3;40;1778
grouper air fra;Parcours 5;14/08/2024 12:37:07;12:57:51;52;21;1,4;389;1130
grouper air fra;Parcours 5;14/08/2024 13:03:06;13:09:00;62;6;1,4;109;1107
Central Brioche;T D centre;15/08/2024 07:29:44;07:31:42;100;2;1,2;30;922
Central Brioche;L centre;15/08/2024 07:32:16;08:51:07;100;79;1,2;1249;954
Central Brioche;L novotel;15/08/2024 08:53:09;08:58:08;34;5;1,6;107;1296
Central Brioche;L novotel;15/08/2024 09:17:09;09:29:03;100;12;1,8;285;1444
Central Brioche;L brioche;15/08/2024 09:29:35;10:31:48;100;62;0,7;590;571
Central Brioche;T F brioche;15/08/2024 10:32:30;10:38:26;100;6;2;153;1552
grouper air fra;Parcours 5;15/08/2024 11:08:14;11:51:39;100;43;1,4;811;1126
grouper air fra;T F af;15/08/2024 11:52:20;11:53:44;100;1;2,3;40;1757
Central Brioche;T D centre;15/08/2024 12:09:15;12:10:49;100;2;1,4;29;1129
Central Brioche;L centre;15/08/2024 12:11:24;12:54:29;56;43;1,2;697;974
Central Brioche;T D centre;16/08/2024 06:53:08;06:54:31;100;1;1,6;29;1265
Central Brioche;L centre;16/08/2024 06:55:02;08:15:06;100;80;1,2;1247;939
Central Brioche;L novotel;16/08/2024 08:17:05;08:18:33;7;1;1,3;27;1081
Central Brioche;L novotel;16/08/2024 08:28:49;08:44:24;100;16;1,8;368;1422
Central Brioche;L brioche;16/08/2024 08:44:55;09:49:43;100;65;0,7;610;567
Central Brioche;T F brioche;16/08/2024 09:50:24;09:56:22;100;6;1,9;153;1544
grouper air fra;Parcours 5;16/08/2024 10:03:20;10:45:08;100;42;1,4;808;1164
grouper air fra;T F af;16/08/2024 10:45:48;10:47:17;100;1;2,2;41;1690
Central Brioche;T D centre;16/08/2024 11:18:10;11:19:29;100;1;1,7;29;1346
Central Brioche;L centre;16/08/2024 11:20:03;12:19:20;75;59;1,2;927;943
Central Brioche;L centre;16/08/2024 12:21:40;12:35:59;91;14;1;202;849
Central Brioche;T D centre;19/08/2024 06:59:32;07:00:55;100;1;1,6;29;1265
Central Brioche;L centre;19/08/2024 07:01:27;08:08:54;85;67;1,2;1064;951
Central Brioche;L centre;19/08/2024 08:17:09;08:17:49;87;1;0,9;8;729
Central Brioche;T D centre;19/08/2024 08:44:04;08:45:44;100;2;1,3;29;1050
Central Brioche;L centre;19/08/2024 08:46:18;09:49:37;80;63;1,2;1000;951
grouper air fra;Parcours 5;19/08/2024 10:21:59;11:03:49;100;42;1,4;805;1159
grouper air fra;T F af;19/08/2024 11:04:31;11:06:00;100;1;2,2;40;1657
Central Brioche;T D centre;19/08/2024 11:24:37;11:25:57;100;1;1,6;29;1329
Central Brioche;L centre;19/08/2024 11:26:31;12:50:45;100;84;1,1;1278;915
Central Brioche;L novotel;19/08/2024 12:52:48;13:07:50;87;15;1,6;319;1279
Central Brioche;T D centre;20/08/2024 07:20:56;07:22:13;100;1;1,7;29;1381
Central Brioche;L centre;20/08/2024 07:22:48;07:34:49;14;12;1,2;188;942
Central Brioche;L centre;20/08/2024 07:34:49;08:43:25;100;69;1,2;1061;932
Central Brioche;L novotel;20/08/2024 08:45:28;09:03:54;100;18;1,6;399;1303
Central Brioche;L brioche;20/08/2024 09:03:57;09:11:55;11;8;1,2;131;992
Central Brioche;L brioche;20/08/2024 09:26:05;10:24:20;100;58;0,7;543;562
Central Brioche;T F brioche;20/08/2024 10:25:01;10:30:46;100;6;2;152;1594
grouper air fra;Parcours 5;20/08/2024 10:35:53;11:17:59;100;42;1,4;806;1154
grouper air fra;T F af;20/08/2024 11:18:41;11:20:15;100;2;2,1;41;1582
Central Brioche;T D centre;20/08/2024 11:34:33;11:35:56;100;1;1,6;29;1265
Central Brioche;L centre;20/08/2024 11:36:27;12:05:31;38;29;1,2;467;969
Central Brioche;L centre;20/08/2024 12:34:38;12:37:53;41;3;1,1;49;917
Central Brioche;L centre;20/08/2024 12:39:39;12:42:21;45;3;1,1;40;882
Central Brioche;T D centre;21/08/2024 06:56:19;06:57:41;100;1;1,6;29;1296
Central Brioche;L centre;21/08/2024 07:09:17;08:12:15;80;63;1,2;982;939
Central Brioche;L centre;21/08/2024 08:14:40;08:25:05;82;10;0,4;62;360
Central Brioche;L centre;21/08/2024 08:25:39;08:26:49;85;1;0,6;10;507
Central Brioche;L centre;21/08/2024 08:38:20;08:52:39;100;14;1;194;818
Central Brioche;L novotel;21/08/2024 08:58:31;09:16:25;100;18;1,7;400;1348
Central Brioche;L brioche;21/08/2024 09:16:57;10:22:33;100;66;0,7;615;565
Central Brioche;T F brioche;21/08/2024 10:23:14;10:29:02;100;6;2;153;1588
grouper air fra;Parcours 5;21/08/2024 11:02:29;11:43:44;100;41;1,4;802;1171
grouper air fra;T F af;21/08/2024 11:44:27;11:45:50;100;1;2,3;41;1814
Central Brioche;T D centre;21/08/2024 11:51:46;11:53:08;100;1;1,6;29;1280
Central Brioche;L centre;21/08/2024 11:53:43;12:34:13;50;40;1,2;641;954
Central Brioche;T D centre;22/08/2024 07:01:58;07:03:26;100;1;1,5;29;1207
Central Brioche;L centre;22/08/2024 07:03:59;08:23:33;100;80;1,2;1238;937
Central Brioche;L novotel;22/08/2024 08:35:22;08:52:31;100;17;1,7;394;1384
Central Brioche;L brioche;22/08/2024 08:53:05;09:59:24;100;66;0,7;620;564
Central Brioche;T F brioche;22/08/2024 10:00:06;10:06:06;100;6;1,9;153;1535
grouper air fra;Parcours 5;22/08/2024 10:25:02;11:07:56;100;43;1,4;812;1140
grouper air fra;T F af;22/08/2024 11:08:39;11:10:06;100;1;2,2;40;1695
Central Brioche;T D centre;22/08/2024 11:18:31;11:19:48;100;1;1,7;29;1381
Central Brioche;L centre;22/08/2024 11:20:25;12:33:06;92;73;1,2;1136;942
Central Brioche;T D centre;23/08/2024 07:20:31;07:21:51;100;1;1,6;29;1329
Central Brioche;L centre;23/08/2024 07:22:23;08:41:57;100;80;1,2;1251;947
Central Brioche;L novotel;23/08/2024 08:43:56;08:45:35;7;2;1,3;29;1060
Central Brioche;L novotel;23/08/2024 08:55:33;09:11:12;100;16;1,7;365;1407
Central Brioche;L brioche;23/08/2024 09:11:43;10:16:53;100;65;0,7;613;567
Central Brioche;T F brioche;23/08/2024 10:17:31;10:23:15;100;6;2;152;1598
grouper air fra;Parcours 5;23/08/2024 10:35:17;11:18:20;100;43;1,4;808;1130
grouper air fra;T F af;23/08/2024 11:19:02;11:20:40;100;2;2;41;1518
Central Brioche;T D centre;23/08/2024 11:32:09;11:33:29;100;1;1,6;29;1329
Central Brioche;L centre;23/08/2024 11:34:01;12:16:10;55;42;1,2;675;965
Central Brioche;L centre;23/08/2024 12:17:39;12:40:49;82;23;1,1;340;885
Central Brioche;T D centre;26/08/2024 06:53:30;06:54:56;100;1;1,5;29;1221
Central Brioche;L centre;26/08/2024 06:55:28;08:01:15;82;66;1,2;1039;952
Central Brioche;T D centre;26/08/2024 08:18:23;08:19:38;100;1;1,7;29;1400
Central Brioche;L centre;26/08/2024 08:20:12;09:39:20;100;79;1,2;1238;943
Central Brioche;L novotel;26/08/2024 09:49:19;10:06:08;100;17;1,7;394;1410
Central Brioche;L brioche;26/08/2024 10:06:42;11:12:00;100;65;0,7;612;565
Central Brioche;T F brioche;26/08/2024 11:12:40;11:18:40;100;6;1,9;153;1544
grouper air fra;Parcours 5;26/08/2024 11:37:18;12:23:16;100;46;1,3;812;1065
grouper air fra;T F af;26/08/2024 12:23:59;12:25:30;100;2;2,2;40;1602
Central Brioche;T D centre;27/08/2024 06:53:26;06:54:57;100;2;1,5;29;1154
Central Brioche;L centre;27/08/2024 06:55:33;07:26:36;34;31;1,1;442;858
Central Brioche;L centre;27/08/2024 07:30:42;07:44:06;53;13;1,2;219;983
Central Brioche;L centre;27/08/2024 07:52:19;08:19:23;87;27;1,1;401;893
Central Brioche;T D centre;27/08/2024 08:32:48;08:33:39;100;1;1,6;18;1258
Central Brioche;L centre;27/08/2024 08:34:45;08:39:03;6;4;1,1;65;908
Central Brioche;L centre;27/08/2024 08:57:01;09:57:19;80;60;1,1;928;928
grouper air fra;Parcours 5;27/08/2024 10:18:45;11:01:12;100;42;1,4;810;1149
grouper air fra;T F af;27/08/2024 11:01:54;11:03:20;100;1;2,2;40;1695
Central Brioche;T D centre;27/08/2024 11:09:46;11:11:07;100;1;1,6;29;1296
Central Brioche;L centre;27/08/2024 11:11:38;11:53:59;55;42;1,2;688;979
Central Brioche;L centre;27/08/2024 11:54:42;12:30:36;96;36;1,1;522;877
Central Brioche;L centre;27/08/2024 12:33:53;12:34:43;98;1;0,6;7;525
Central Brioche;T D centre;28/08/2024 07:07:51;07:08:38;100;1;1,4;15;1154
Central Brioche;L centre;28/08/2024 07:09:50;08:20:22;88;71;1,2;1098;938
Central Brioche;L centre;28/08/2024 08:30:04;08:36:15;96;6;1,1;94;914
Central Brioche;L centre;28/08/2024 09:15:57;09:18:45;100;3;0,9;35;755
Central Brioche;L novotel;28/08/2024 09:20:50;09:37:55;100;17;1,7;394;1388
Central Brioche;L brioche;28/08/2024 09:38:28;10:39:49;93;61;0,7;565;555
grouper air fra;Parcours 5;28/08/2024 11:05:23;11:48:14;100;43;1,4;808;1136
grouper air fra;T F af;28/08/2024 11:48:54;11:50:17;100;1;2,3;40;1757
grouper air fra;Parcours 5;28/08/2024 12:21:09;13:01:10;95;40;1,4;766;1154
Central Brioche;T D centre;29/08/2024 07:00:05;07:01:25;100;1;1,6;29;1296
Central Brioche;L centre;29/08/2024 07:01:59;07:25:45;30;24;1,2;377;958
Central Brioche;L centre;29/08/2024 07:27:01;07:42:43;50;16;1,2;255;980
