Séquence;Parcours;Début;Fin;"Terminer
à [%]";"Durée
[mn]";"Vitesse moyenne
[km/h]";"Surface
propre [mq]";"Productivité
horaire [mq/h]"
Central Brioche;L novotel;01/10/2024 08:20;08:23:40;100;3;2,1;81;1676
Central Brioche;L brioche;01/10/2024 08:23;09:02:44;59;39;0,8;423;652
Central Brioche;L brioche;01/10/2024 09:58;10:26:30;100;28;0,7;256;556
Central Brioche;T F brioche;01/10/2024 10:27;10:33:54;100;7;1,8;153;1381
grouper air fra;Parcours 5;01/10/2024 10:39;11:22:55;100;43;1,4;805;1123
grouper air fra;T F af;01/10/2024 11:23;11:25:16;100;2;2;40;1458
Central Brioche;T D centre;01/10/2024 11:55;11:56:57;100;2;1,4;29;1105
Central Brioche;L centre;01/10/2024 11:57;12:24:51;35;27;1,2;441;971
Central Brioche;L centre;01/10/2024 12:27;12:57:19;73;29;1,1;448;917
Central Brioche;T D centre;02/10/2024 06:25;06:26:59;100;1;1,6;29;1265
Central Brioche;L centre;02/10/2024 06:27;07:50:23;100;83;1,1;1277;929
Central Brioche;L novotel;02/10/2024 07:52;08:01:58;60;10;1,6;202;1281
Central Brioche;L novotel;02/10/2024 08:20;08:29:10;100;8;1,7;193;1408
Central Brioche;L brioche;02/10/2024 08:29;09:34:42;100;65;0,7;612;563
Central Brioche;T F brioche;02/10/2024 09:35;09:41:36;100;6;1,8;151;1462
grouper air fra;Parcours 5;02/10/2024 09:50;10:32:57;100;42;1,4;808;1157
grouper air fra;T F af;02/10/2024 10:33;10:35:06;100;1;2,2;41;1750
Central Brioche;T D centre;02/10/2024 10:45;10:47:10;100;1;1,6;29;1280
Central Brioche;L centre;02/10/2024 10:47;11:21:11;44;33;1,2;539;970
Central Brioche;L centre;02/10/2024 11:24;11:30:58;50;7;1,1;104;919
grouper air fra;Parcours 5;02/10/2024 11:46;12:29:04;100;42;1,4;801;1144
grouper air fra;T F af;02/10/2024 12:29;12:31:17;100;1;2,1;40;1638
Central Brioche;T D centre;03/10/2024 06:26;06:27:43;100;1;1,7;29;1346
Central Brioche;L centre;03/10/2024 06:28;07:32:00;80;64;1,2;991;937
Central Brioche;T D centre;03/10/2024 07:52;07:54:03;100;2;1,4;29;1105
Central Brioche;L centre;03/10/2024 07:54;08:38:43;55;44;1,2;690;943
grouper air fra;Parcours 5;03/10/2024 09:16;09:59:24;100;43;1,4;808;1133
grouper air fra;T F af;03/10/2024 10:00;10:01:43;100;2;2;41;1472
Central Brioche;T D centre;03/10/2024 10:32;10:34:07;100;1;1,5;29;1193
Central Brioche;L centre;03/10/2024 10:34;11:34:54;77;60;1,2;941;942
Central Brioche;L centre;03/10/2024 11:52;11:56:19;78;3;0,2;2;37
